City,Crimes100K
"Memphis, TN",8357.07
"Baltimore, MD",6997.68
"San Francisco, CA",6917.4
"Detroit, MI",6726.82
"Portland, OR",6239.99
"Seattle, WA",5911.99
"Indianapolis, IN",5775.23
"San Antonio, TX",5565.95
"Houston, TX",5252.08
"Washington, DC",5104.96
"Nashville, TN",4966.5
"Louisville, KY",4769.99
"Oklahoma City, OK",4552.5
"Columbus, OH",4501.8
"Phoenix, AZ",4443.2
"Chicago, IL",4381.65
"Denver, CO",4360.93
"Jacksonville, FL",4168.73
"Philadelphia, PA",4037.27
"Dallas, TX",3985.95
"Charlotte, NC",3836.39
"Fort Worth, TX",3792.83
"Austin, TX",3612.23
"Las Vegas, NV",3567.87
"Los Angeles, CA",3332.52
"San Jose, CA",2861.02
"Boston, MA",2758.22
"San Diego, CA",2220.67
"El Paso, TX",2203.25
"New York, NY",1987.49
