MonthEnd,Financial
1/31/2016,1652
2/29/2016,1529
3/31/2016,1587
4/30/2016,1568
5/31/2016,1472
6/30/2016,1705
7/31/2016,1526
8/31/2016,1708
9/30/2016,1620
10/31/2016,1708
11/30/2016,1487
12/31/2016,1717
1/31/2017,1816
2/28/2017,1534
3/31/2017,1650
4/30/2017,1560
5/31/2017,1561
6/30/2017,1607
7/31/2017,1645
8/31/2017,1640
9/30/2017,1642
10/31/2017,1637
11/30/2017,1580
12/31/2017,1744
1/31/2018,1650
2/28/2018,1491
3/31/2018,1697
4/30/2018,1584
5/31/2018,1726
6/30/2018,1667
7/31/2018,1761
8/31/2018,1782
9/30/2018,1573
10/31/2018,1606
11/30/2018,1507
12/31/2018,1685
1/31/2019,1596
2/28/2019,1387
3/31/2019,1552
4/30/2019,1554
5/31/2019,1629
6/30/2019,1531
7/31/2019,1675
8/31/2019,1676
9/30/2019,1546
10/31/2019,1608
11/30/2019,1618
12/31/2019,1560
1/31/2020,1598
2/29/2020,1371
3/31/2020,1209
4/30/2020,1110
5/31/2020,1035
6/30/2020,1151
7/31/2020,1383
8/31/2020,1170
9/30/2020,1179
10/31/2020,2055
11/30/2020,2045
12/31/2020,2866
1/31/2021,2571
2/28/2021,1613
3/31/2021,1622
4/30/2021,1203
5/31/2021,1262
6/30/2021,1496
7/31/2021,1323
8/31/2021,1302
9/30/2021,1287
10/31/2021,1232
11/30/2021,1153
12/31/2021,1159
1/31/2022,1263
2/28/2022,1042
3/31/2022,1381
4/30/2022,1315
5/31/2022,1277
6/30/2022,1322
7/31/2022,1271
8/31/2022,1404
9/30/2022,1516
10/31/2022,1531
11/30/2022,1392
12/31/2022,1393
