YrMon,Financial,Violent,Property,Statutory,Total
2016-01,1652,6578,9069,3469,20768
2016-02,1529,5873,7807,3544,18753
2016-03,1587,7204,9073,4198,22062
2016-04,1568,6780,8742,4089,21179
2016-05,1472,8014,9772,4296,23554
2016-06,1705,8175,10054,4147,24081
2016-07,1526,8078,11248,4008,24860
2016-08,1708,8155,11431,3636,24930
2016-09,1620,7571,10989,3522,23702
2016-10,1708,7715,10862,3482,23767
2016-11,1487,6840,10265,3156,21748
2016-12,1717,6186,9470,3022,20395
2017-01,1816,6694,9867,3791,22168
2017-02,1534,5907,8380,3500,19321
2017-03,1650,6582,8500,3848,20580
2017-04,1560,7093,9108,3948,21709
2017-05,1561,7861,9791,4181,23394
2017-06,1607,8017,10528,3723,23875
2017-07,1645,8082,11068,4084,24879
2017-08,1640,7868,11310,3926,24744
2017-09,1642,7718,9931,3562,22853
2017-10,1637,7446,10401,3448,22932
2017-11,1580,6773,9778,3382,21513
2017-12,1744,6584,9639,3147,21114
2018-01,1650,6473,8773,3664,20560
2018-02,1491,5621,6913,3341,17366
2018-03,1697,6790,8692,4073,21252
2018-04,1584,6614,8986,3975,21159
2018-05,1726,8407,10258,4363,24754
2018-06,1667,7938,10546,4107,24258
2018-07,1761,8254,10938,4331,25284
2018-08,1782,7977,11350,4368,25477
2018-09,1573,7503,10066,3980,23122
2018-10,1606,7433,10027,3790,22856
2018-11,1507,6459,8891,3836,20693
2018-12,1685,6783,9857,3683,22008
2019-01,1596,6197,7887,4060,19740
2019-02,1387,6007,7465,3579,18438
2019-03,1552,7050,7932,3915,20449
2019-04,1554,7152,8433,3897,21036
2019-05,1629,8410,9501,4136,23676
2019-06,1531,8329,9780,3996,23636
2019-07,1675,8458,10460,4285,24878
2019-08,1676,7979,10528,4250,24433
2019-09,1546,7652,9401,3868,22467
2019-10,1608,7080,9340,3692,21720
2019-11,1618,6517,8396,3445,19976
2019-12,1560,6826,9084,3346,20816
2020-01,1598,6711,7828,3787,19924
2020-02,1371,6119,7224,3480,18194
2020-03,1209,6222,6650,2666,16747
2020-04,1110,4799,5515,1492,12916
2020-05,1035,6228,7633,2706,17602
2020-06,1151,6961,7159,2391,17662
2020-07,1383,7582,7938,2735,19638
2020-08,1170,7423,8386,2933,19912
2020-09,1179,6549,7402,2809,17939
2020-10,2055,6380,7268,2737,18440
2020-11,2045,5742,6462,2396,16645
2020-12,2866,5141,6091,2405,16503
2021-01,2571,5496,5722,2378,16167
2021-02,1613,4820,4586,2063,13082
2021-03,1622,5754,5866,2859,16101
2021-04,1203,5863,5919,2583,15568
2021-05,1262,6861,6827,2849,17799
2021-06,1496,7218,7209,2899,18822
2021-07,1323,7430,7898,2594,19245
2021-08,1302,7141,7771,2323,18537
2021-09,1287,7467,7982,2495,19231
2021-10,1232,7276,8438,2405,19351
2021-11,1153,6274,7768,2220,17415
2021-12,1159,6412,7709,2021,17301
2022-01,1263,5585,6790,1942,15580
2022-02,1042,5473,6379,2327,15221
2022-03,1381,6366,7834,2780,18361
2022-04,1315,6314,7563,2791,17983
2022-05,1277,7426,8370,3045,20118
2022-06,1322,7390,9222,2812,20746
2022-07,1271,7379,10803,2790,22243
2022-08,1404,7327,10786,2728,22245
2022-09,1516,7270,10854,2641,22281
2022-10,1531,7069,11987,2556,23143
2022-11,1392,6306,10833,2199,20730
2022-12,1393,6104,10120,2195,19812
